mean monoisotopic m/z	average intensity	ms runs	percentage of spectra	theoretical m/z	delta PPM	primary identification	other identifications	labels
213.15973	45.6	5/5	14.3%	213.15975	0.09	b(IV)	b(LV), y(IV)-H2O, y(LV)-H2O	
214.11858	21.4	5/5	6.8%	214.11862	0.19	b(NV)	b(AAA), a(GPS), b(GGV), y(NV)-H2O, a(AST)-H2O, y(AAA)-H2O, a(GTT)-H2O, y(GGV)-H2O	
214.15498	14.8	4/5	5.1%	214.155	0.09	a(IQ)	a(LQ), a(AAV), a(AGI), a(AGL)	
215.10267	15.4	4/5	8.9%	215.10263	-0.19	b(DV)	y(DV)-H2O, y(NV)-NH3, a(AST)-NH3, y(AAA)-NH3, a(GTT)-NH3, y(GGV)-NH3	
215.13905	128.8	5/5	32.0%	215.13902	-0.14	a(EI)	a(EL), b(IT), b(LT), y(PV), y(IT)-H2O, y(LT)-H2O, a(L[Acetyl]S)	
216.09789	35.7	5/5	12.7%	216.09788	-0.05	a(DQ)	a(EN), b(NT), b(QS), a(ADG), b(AGS), a(EGG), b(GGT), y(NT)-H2O, y(QS)-H2O, y(AGS)-H2O, y(GGT)-H2O, a(SSS)-H2O	
216.13441	13.7	3/5	7.3%	216.13427	-0.65	a(DK)	b(KS), a(AAT), a(GSV), y(KS)-H2O	
217.08185	41.4	5/5	13.3%	217.0819	0.23	a(DE)	b(DT), b(ES), y(DT)-H2O, y(ES)-H2O, y(NT)-NH3, y(QS)-NH3, y(AGS)-NH3, y(GGT)-NH3, a(SSS)-NH3, a(MM)-H2O	
217.13364	12.6	3/5	2.8%	217.13354	-0.46	a(FP)	a(VY)-H2O	
218.14994	60.8	4/5	11.8%	218.14992	-0.09	y(AK)		
219.07986	12.5	3/5	4.8%	219.07979	-0.32	y(CP)	a(DM), b(MS), y(MS)-H2O, b(AM[Oxidation]), y(AM[Oxidation])-H2O	
219.11285	14.8	4/5	5.2%	219.1128	-0.23	b(AF)	y(AF)-H2O, a(TY)-H2O, b(GPV)-H2O-NH3, a(PPS)-H2O-NH3	
219.14927	20.7	5/5	5.1%	219.14919	-0.37	a(FV)	a(AIP)-H2O-NH3, a(ALP)-H2O-NH3	
221.12846	22.0	4/5	4.7%	221.12845	-0.05	a(FT)	y(FFK)^2, a(APP)-NH3, b(AAI)-H2O-NH3, b(AAL)-H2O-NH3, b(GVV)-H2O-NH3, a(PSV)-H2O-NH3	
